127.0.0.1 - - [09/Jan/2023:12:36:32 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:36:33 +0530] "GET /Project-4/ HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:36:33 +0530] "GET /Project-4/img/RaysLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:36:42 +0530] "GET /Project-4/WelcomeCtl HTTP/1.1" 200 1423
0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:36:44 +0530] "GET /Project-4/LoginCtl HTTP/1.1" 200 2833
0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:36:44 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:37:02 +0530] "POST /Project-4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:37:02 +0530] "GET /Project-4/WelcomeCtl HTTP/1.1" 200 3026
0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:37:45 +0530] "GET /Project-4/ctl/CollegeListCtl HTTP/1.1" 200 7899
0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:37:45 +0530] "GET /Project-4/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:37:45 +0530] "GET /Project-4/js/Checkbox11.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:40:36 +0530] "GET /Project-4/ctl/CollegeListCtl HTTP/1.1" 200 8161
0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:40:36 +0530] "GET /Project-4/img/Raysicon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:41:59 +0530] "POST /Project-4/ctl/CollegeListCtl HTTP/1.1" 200 3523
0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:42:01 +0530] "POST /Project-4/ctl/CollegeListCtl HTTP/1.1" 200 8161
0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:42:04 +0530] "POST /Project-4/ctl/CollegeListCtl HTTP/1.1" 200 5927
0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:42:14 +0530] "POST /Project-4/ctl/CollegeListCtl HTTP/1.1" 200 5927
0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:42:19 +0530] "POST /Project-4/ctl/CollegeListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:42:19 +0530] "GET /Project-4/ctl/CollegeListCtl HTTP/1.1" 200 8161
0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:42:25 +0530] "POST /Project-4/ctl/CollegeListCtl HTTP/1.1" 200 5927
0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:42:43 +0530] "POST /Project-4/ctl/CollegeListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:42:43 +0530] "GET /Project-4/ctl/CollegeListCtl HTTP/1.1" 200 8161
0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:42:47 +0530] "POST /Project-4/ctl/CollegeListCtl HTTP/1.1" 200 3523
0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:42:50 +0530] "POST /Project-4/ctl/CollegeListCtl HTTP/1.1" 200 8161
0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:43:00 +0530] "POST /Project-4/ctl/CollegeListCtl HTTP/1.1" 200 3523
0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:43:04 +0530] "POST /Project-4/ctl/CollegeListCtl HTTP/1.1" 200 8161
0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:43:08 +0530] "POST /Project-4/ctl/CollegeListCtl HTTP/1.1" 200 5927
0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:43:12 +0530] "POST /Project-4/ctl/CollegeListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:43:12 +0530] "GET /Project-4/ctl/CollegeListCtl HTTP/1.1" 200 8161
0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:44:45 +0530] "POST /Project-4/ctl/CollegeListCtl HTTP/1.1" 200 7437
0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:45:07 +0530] "POST /Project-4/ctl/CollegeListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jan/2023:12:45:07 +0530] "GET /Project-4/ctl/CollegeListCtl HTTP/1.1" 200 8161
