0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:51:45 +0530] "GET /Project-4/js/calendar.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:51:45 +0530] "GET /Project-4/ctl/MyProfileCtl HTTP/1.1" 200 6276
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:51:45 +0530] "GET /Project-4/js/calendar.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:51:45 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:51:46 +0530] "GET /Project-4/ctl/MyProfileCtl HTTP/1.1" 200 6276
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:51:46 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:51:46 +0530] "GET /Project-4/js/calendar.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:51:46 +0530] "GET /Project-4/ctl/MyProfileCtl HTTP/1.1" 200 6276
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:51:46 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:51:46 +0530] "GET /Project-4/js/calendar.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:51:46 +0530] "GET /Project-4/ctl/MyProfileCtl HTTP/1.1" 200 6276
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:51:46 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:51:46 +0530] "GET /Project-4/js/calendar.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:51:46 +0530] "GET /Project-4/ctl/MyProfileCtl HTTP/1.1" 200 6276
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:51:46 +0530] "GET /Project-4/js/calendar.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:51:46 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:51:47 +0530] "GET /Project-4/ctl/MyProfileCtl HTTP/1.1" 200 6276
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:51:47 +0530] "GET /Project-4/js/calendar.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:51:47 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:51:47 +0530] "GET /Project-4/ctl/MyProfileCtl HTTP/1.1" 200 6276
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:51:47 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:51:47 +0530] "GET /Project-4/js/calendar.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:51:47 +0530] "GET /Project-4/ctl/MyProfileCtl HTTP/1.1" 200 6276
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:51:47 +0530] "GET /Project-4/js/calendar.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:51:47 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:51:47 +0530] "GET /Project-4/ctl/MyProfileCtl HTTP/1.1" 200 6276
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:51:47 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:51:47 +0530] "GET /Project-4/js/calendar.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:51:47 +0530] "GET /Project-4/ctl/MyProfileCtl HTTP/1.1" 200 6276
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:51:47 +0530] "GET /Project-4/js/calendar.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:51:47 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:51:48 +0530] "GET /Project-4/ctl/MyProfileCtl HTTP/1.1" 200 6276
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:51:48 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:51:48 +0530] "GET /Project-4/js/calendar.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:51:48 +0530] "GET /Project-4/ctl/MyProfileCtl HTTP/1.1" 200 6276
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:51:48 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:51:48 +0530] "GET /Project-4/js/calendar.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:51:48 +0530] "GET /Project-4/ctl/MyProfileCtl HTTP/1.1" 200 6276
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:51:48 +0530] "GET /Project-4/js/calendar.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:51:48 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:51:48 +0530] "GET /Project-4/ctl/MyProfileCtl HTTP/1.1" 200 6276
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:51:48 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:51:48 +0530] "GET /Project-4/js/calendar.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:51:50 +0530] "GET /Project-4/ctl/MyProfileCtl HTTP/1.1" 200 6276
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:51:50 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:51:50 +0530] "GET /Project-4/js/calendar.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:51:52 +0530] "GET /Project-4/ctl/ChangePasswordCtl HTTP/1.1" 200 4792
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:51:54 +0530] "GET /Project-4/ctl/GetMarksheetCtl HTTP/1.1" 200 3817
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:51:57 +0530] "GET /Project-4/ctl/MarksheetMeritListCtl HTTP/1.1" 200 5066
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:52:00 +0530] "GET /Project-4/ctl/MarksheetCtl HTTP/1.1" 200 5851
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:52:02 +0530] "GET /Project-4/ctl/MarksheetListCtl HTTP/1.1" 200 8169
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:52:05 +0530] "GET /Project-4/ctl/UserCtl HTTP/1.1" 200 7957
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:52:05 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:52:07 +0530] "GET /Project-4/ctl/UserListCtl HTTP/1.1" 200 6781
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:52:13 +0530] "GET /Project-4/ctl/CollegeCtl HTTP/1.1" 200 5442
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:52:16 +0530] "GET /Project-4/ctl/CollegeListCtl HTTP/1.1" 200 7370
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:52:20 +0530] "GET /Project-4/ctl/RoleCtl HTTP/1.1" 200 4407
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:52:22 +0530] "GET /Project-4/ctl/RoleListCtl HTTP/1.1" 200 5808
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:52:26 +0530] "GET /Project-4/ctl/StudentCtl HTTP/1.1" 200 6758
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:52:26 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:52:30 +0530] "GET /Project-4/ctl/StudentListCtl HTTP/1.1" 200 7256
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:52:32 +0530] "GET /Project-4/ctl/CourseCtl HTTP/1.1" 200 5193
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:52:42 +0530] "GET /Project-4/ctl/CourseListCtl HTTP/1.1" 200 8013
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:52:47 +0530] "POST /Project-4/ctl/CourseListCtl HTTP/1.1" 200 6007
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:52:53 +0530] "POST /Project-4/ctl/CourseListCtl HTTP/1.1" 200 8013
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:52:58 +0530] "GET /Project-4/ctl/SubjectCtl HTTP/1.1" 200 5465
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:53:11 +0530] "GET /Project-4/ctl/SubjectListCtl HTTP/1.1" 200 10065
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:53:14 +0530] "GET /Project-4/ctl/FacultyCtl HTTP/1.1" 200 9092
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:53:15 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:53:17 +0530] "GET /Project-4/ctl/FacultyListCtl HTTP/1.1" 200 9200
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:53:19 +0530] "GET /Project-4/ctl/TimeTableCtl HTTP/1.1" 200 7952
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:53:19 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:53:21 +0530] "GET /Project-4/ctl/TimeTableListCtl HTTP/1.1" 200 7207
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:53:21 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:53:24 +0530] "GET /Project-4/doc/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:53:24 +0530] "GET /Project-4/doc/stylesheet.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:53:24 +0530] "GET /Project-4/doc/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:53:24 +0530] "GET /Project-4/doc/jquery/jquery-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:53:24 +0530] "GET /Project-4/doc/jquery/jquery-ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:53:24 +0530] "GET /Project-4/doc/jquery/jquery-3.5.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:53:24 +0530] "GET /Project-4/doc/jquery/jszip-utils/dist/jszip-utils.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:53:24 +0530] "GET /Project-4/doc/jquery/jszip/dist/jszip.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:53:24 +0530] "GET /Project-4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:53:24 +0530] "GET /Project-4/doc/jquery/jszip/dist/jszip.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:53:24 +0530] "GET /Project-4/doc/search.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:53:24 +0530] "GET /Project-4/doc/jquery/jszip-utils/dist/jszip-utils.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:53:24 +0530] "GET /Project-4/doc/module-search-index.zip HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:53:24 +0530] "GET /Project-4/doc/package-search-index.zip HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:53:24 +0530] "GET /Project-4/doc/type-search-index.zip HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:53:24 +0530] "GET /Project-4/doc/member-search-index.zip HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:53:24 +0530] "GET /Project-4/doc/tag-search-index.zip HTTP/1.1" 404 793
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:53:24 +0530] "GET /Project-4/doc/module-search-index.js HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:53:24 +0530] "GET /Project-4/doc/package-search-index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:53:24 +0530] "GET /Project-4/doc/member-search-index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:53:24 +0530] "GET /Project-4/doc/type-search-index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:53:24 +0530] "GET /Project-4/doc/tag-search-index.js HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:53:24 +0530] "GET /Project-4/doc/resources/glass.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:53:24 +0530] "GET /Project-4/doc/resources/x.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:53:36 +0530] "GET /Project-4/ctl/CollegeListCtl HTTP/1.1" 200 7370
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:54:27 +0530] "GET /Project-4/ctl/CollegeListCtl HTTP/1.1" 200 7342
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:54:32 +0530] "GET /Project-4/ctl/CollegeListCtl HTTP/1.1" 200 7342
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:54:34 +0530] "GET /Project-4/ctl/CollegeListCtl HTTP/1.1" 200 7342
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:54:36 +0530] "GET /Project-4/ctl/RoleCtl HTTP/1.1" 200 4407
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:54:38 +0530] "GET /Project-4/ctl/CollegeListCtl HTTP/1.1" 200 7342
0:0:0:0:0:0:0:1 - - [28/Dec/2022:11:55:32 +0530] "GET /Project-4/LoginCtl?operation=logout HTTP/1.1" 200 2860
